Target,Model,RMSE,MAE,R2
EC,RandomForest,380.5868042064014,192.09841666666668,0.9298427026143884
EC,SVR,1443.6343861239218,844.2850828286436,-0.009438429193997289
EC,XGBoost,399.4944990583307,193.29668560028077,0.9226986630365783
NO3,RandomForest,50.09978975686433,34.055271966527194,0.26746746852425807
NO3,SVR,53.57313896108459,32.045651682244845,0.16237564554373118
NO3,XGBoost,50.26136721621334,33.301438064754755,0.2627348495147702
F,RandomForest,0.4340560193923261,0.33808368200836825,0.2147245421110615
F,SVR,0.4451624237663313,0.34026442385627675,0.17402394980906333
F,XGBoost,0.44559270566447734,0.34280643047273907,0.1724264461342946
